UHBEGREB;INDUD;TID;INDHOLD
Udenrigshandel med varer (Grænsepassageprincip);Import;2022M11;78078643
Udenrigshandel med varer (Grænsepassageprincip);Import;2022M12;72604392
Udenrigshandel med varer (Grænsepassageprincip);Import;2023M01;70636443
Udenrigshandel med varer (Grænsepassageprincip);Import;2023M02;66116396
Udenrigshandel med varer (Grænsepassageprincip);Import;2023M03;75789983
Udenrigshandel med varer (Grænsepassageprincip);Import;2023M04;62828887
Udenrigshandel med varer (Grænsepassageprincip);Import;2023M05;72833432
Udenrigshandel med varer (Grænsepassageprincip);Import;2023M06;70888762
Udenrigshandel med varer (Grænsepassageprincip);Import;2023M07;64685562
Udenrigshandel med varer (Grænsepassageprincip);Import;2023M08;68735068
Udenrigshandel med varer (Grænsepassageprincip);Import;2023M09;70588394
Udenrigshandel med varer (Grænsepassageprincip);Import;2023M10;70992667
Udenrigshandel med varer (Grænsepassageprincip);Import;2023M11;72683698
Udenrigshandel med varer (Grænsepassageprincip);Import;2023M12;64361606
Udenrigshandel med varer (Grænsepassageprincip);Import;2024M01;65780538
Udenrigshandel med varer (Grænsepassageprincip);Import;2024M02;65816174
Udenrigshandel med varer (Grænsepassageprincip);Import;2024M03;68776898
Udenrigshandel med varer (Grænsepassageprincip);Import;2024M04;72361081
Udenrigshandel med varer (Grænsepassageprincip);Import;2024M05;70257829
Udenrigshandel med varer (Grænsepassageprincip);Import;2024M06;69369220
Udenrigshandel med varer (Grænsepassageprincip);Import;2024M07;67280236
Udenrigshandel med varer (Grænsepassageprincip);Import;2024M08;68504407
Udenrigshandel med varer (Grænsepassageprincip);Import;2024M09;72727908
Udenrigshandel med varer (Grænsepassageprincip);Import;2024M10;75033400
Udenrigshandel med varer (Grænsepassageprincip);Import;2024M11;79413305
Udenrigshandel med varer (Grænsepassageprincip);Import;2024M12;71211094
Udenrigshandel med varer (Grænsepassageprincip);Import;2025M01;73723028
Udenrigshandel med varer (Grænsepassageprincip);Import;2025M02;71335301
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2022M11;83948349
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2022M12;76704786
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2023M01;80771505
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2023M02;73432940
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2023M03;83311099
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2023M04;67587159
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2023M05;75181792
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2023M06;78848361
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2023M07;69279321
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2023M08;73036173
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2023M09;72618888
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2023M10;76181588
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2023M11;76639712
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2023M12;65922270
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2024M01;72855470
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2024M02;73317386
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2024M03;76021452
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2024M04;75903560
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2024M05;75969575
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2024M06;81230753
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2024M07;76282963
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2024M08;76710244
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2024M09;75234204
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2024M10;84495419
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2024M11;80406595
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2024M12;72732109
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2025M01;80417733
Udenrigshandel med varer (Grænsepassageprincip);Eksport;2025M02;74924076
